title,path,reviews,release date,developer,popular tags,price,platforms available
For the People,Indie Games/101XP Franchise,Mostly Positive (534 reviews),"13 Aug, 2020",Brezg Studio,"Choose Your Own Adventure, Visual Novel, Political Sim, Time Management, Tactical RPG, Casual, Strategy, Political, Choices Matter, First-Person, 2D, Noir, Multiple Endings, Management, Story Rich, Point & Click, Simulation, Dystopian, Atmospheric, Adventure",174 pуб.,"Windows, macOS, SteamOS + Linux"
Warbanners: Death Speaker,Strategy Games/Warbanners/Downloadable Content,Positive (15 reviews),"29 Mar, 2018",Crasleen Games,"Strategy, RPG, Indie, Turn-Based Combat, Singleplayer, Tactical RPG, Dark Fantasy, Medieval, Turn-Based Tactics, Adventure, Fantasy, Tactical, Turn-Based Strategy, Story Rich, 2D, Difficult, Atmospheric, Strategy RPG, Turn-Based",39 pуб.,"Windows, SteamOS + Linux"
Starship Annihilator,Action Games,Mixed (96 reviews),"2 Sep, 2016",IR Studio,"Indie, Action, Shoot 'Em Up",9 pуб.,
Madness,Action Games,Mixed (47 reviews),"22 Nov, 2016",Indie Games Studio,"Action, Adventure, RPG, Casual, Indie, 2D, Pixel Graphics, Action-Adventure, 2D Platformer, Atmospheric, Linear, Singleplayer",10 pуб.,
Stayhome Simulator,Simulation Games,Very Positive (93 reviews),"22 May, 2020",Two Inc,"Casual, Indie, Action, Adventure, Strategy, Simulation, Sports, Memes, Clicker, Politics, Economy, Family Friendly, Hacking, Grid-Based Movement, Puzzle, Horror, Singleplayer, Cartoony, Stylized, Colorful",21 pуб.,"Windows, macOS, SteamOS + Linux"
Gun Done,Casual Games,Very Positive (532 reviews),"13 Jun, 2016",AZAMATIKA,"Casual, Indie, Western, Pixel Graphics, Memes, Arcade",15 pуб.,
Valand,Strategy Games,Mixed (25 reviews) Mixed (10 reviews),"4 Nov, 2022",LOMS Studio,"Simulation, Action, City Builder, Life Sim, RTS, Real Time Tactics, Third-Person Shooter, Top-Down Shooter, 3D, Third Person, Military, War, Historical, Nature, Swordplay, Medieval, Archery, Tactical, Economy, Management",156 pуб.,
Mind Rite,Indie Games,Mostly Positive (24 reviews),"19 Feb, 2022",Albino Studio,"Indie, Casual, Visual Novel, Otome, Fantasy, Singleplayer, Cute, Romance, Choices Matter, Anime, Female Protagonist, Detective, 2D, First-Person, Side Scroller",170 pуб.,
Antarctica 88,Adventure Games,Very Positive (115 reviews),"14 Aug, 2020",Euphoria Games,"Horror, Survival Horror, FPS, Exploration, Hidden Object, Shooter, Arcade, Action RPG, First-Person, Psychological Horror, Action, Puzzle, Realistic, Lovecraftian, Sci-fi, Adventure, Atmospheric, Dark, Singleplayer, Indie",123 pуб.,
Swordbreaker The Game,Indie Games/DuCats Games Franchise,Very Positive (265 reviews),"6 Nov, 2015",DuCats Games Studio,"Adventure, Indie, Interactive Fiction, Visual Novel, Choices Matter, Dark Fantasy, Exploration, Medieval, 2D, Gore, Fantasy, Point & Click, Comedy, Dungeon Crawler, Replay Value, Atmospheric, Aliens, Magic, Funny, Singleplayer",90 pуб.,"Windows, macOS"
ZIC – Zombies in City,Action Games,Positive (30 reviews),"23 May, 2019",IO Games,"Shooter, FPS, Action, Zombies, Multiplayer, Co-op Campaign, Online Co-Op, Co-op, First-Person, Adventure, Voxel, Post-apocalyptic, Action-Adventure, Story Rich, Survival, Horror, Indie, Violent, Blood, Singleplayer",29 pуб.,
Ken Follett's The Pillars of the Earth - Soundtrack,Indie Games/Daedalic Entertainment Franchise/Ken Follett's The Pillars of the Earth/Downloadable Content,Positive (23 reviews),"15 Aug, 2017",Daedalic Entertainment,"Adventure, Indie, Casual, Violent",10 pуб.,
Weable,Action Games/Valkyrie Initiative Franchise,Mostly Positive (182 reviews),"23 Aug, 2017",SPECTRUM GAMES,"Action, Indie, Casual, 2D, Top-Down",15 pуб.,
Warbanners,Strategy Games,Mostly Positive (463 reviews),"18 Oct, 2017",Crasleen Games,"Turn-Based Tactics, Turn-Based Combat, Tactical RPG, Turn-Based, Turn-Based Strategy, 2D, Strategy, Strategy RPG, Tactical, Fantasy, RPG, Singleplayer, Replay Value, Difficult, Atmospheric, Medieval, Indie, Dark Fantasy, Story Rich, Adventure",130 pуб.,"Windows, SteamOS + Linux"
ШХД: ЛЕТО / IT'S SUMMER,Indie Games,Mostly Positive (21 reviews),Jun 2021,ИЛЬЯМАЗО,"Simulation, Sandbox, 6DOF, Exploration, Open World, 1990's, Emotional, Choose Your Own Adventure, Retro, Singleplayer, 3D, Atmospheric, Story Rich, Cooking, Modern, Perma Death, Indie, Physics",,
Death Park 2,Adventure Games,Very Positive (107 reviews),"24 Feb, 2021",Euphoria Games,"Adventure, Action, Puzzle, Arcade, Exploration, Hidden Object, Horror, Survival Horror, FPS, First-Person, Dark, Psychological Horror, Indie, Singleplayer, Blood, Gore, Violent, Replay Value, Difficult",123 pуб.,
Swordbreaker: Origins,Indie Games/DuCats Games Franchise,Positive (19 reviews),"13 May, 2022",DuCats Games Studio,"Indie, Gore, Violent, Adventure, Nudity, Visual Novel, Singleplayer, Replay Value, 2D, Exploration, Comedy, Interactive Fiction, Hand-drawn, Stylized, Atmospheric, Parody, Medieval, Puzzle, Point & Click, Difficult",315 pуб.,"Windows, SteamOS + Linux"
Code Brown,Indie Games,Very Positive (76 reviews),"9 Nov, 2018",CreaTeam,"Hidden Object, Stealth, Arcade, 2D, Cute, Parody, Psychological Horror, Funny, Dark Humor, Dark Comedy, Conversation, Puzzle, Simulation, Cartoony, Colorful, Hand-drawn, Score Attack, Psychedelic, Comedy, Adventure","193,50 pуб.",
Demon Skin,Action Games/ESDigital Games Franchise,Mostly Positive (66 reviews),"13 Apr, 2021",Ludus future,"Action, RPG, Hack and Slash, Side Scroller, Dark, Singleplayer, Platformer, Dark Fantasy, Linear, 3D, 3D Platformer, Adventure, Combat, 3D Fighter, Action-Adventure, 2.5D, Atmospheric, Controller, Magic, Beat 'em up",152 pуб.,
Death Park,Adventure Games,Very Positive (95 reviews),"26 Nov, 2019",Euphoria Games,"Adventure, Indie, Horror, Action, Survival Horror, Psychological Horror, Puzzle, Singleplayer, Dark, Gore, Hidden Object, Violent, Replay Value, Blood, Great Soundtrack, Arcade, Exploration, Difficult, Atmospheric",123 pуб.,
FOS,RPG Games,Very Positive (333 reviews),"16 May, 2020",Enoops,"Free to Play, RPG, Adventure, Indie, Action, Pixel Graphics, Casual, Multiplayer, 2D",15 pуб.,
7th Sector,Indie Games,Mostly Positive (510 reviews) Mixed (10 reviews),"5 Mar, 2019",Носков Сергей,"3D Platformer, Puzzle Platformer, Racing, PvE, Walking Simulator, Arcade, Third Person, Noir, Cyberpunk, Alternate History, Horror, Choices Matter, Multiple Endings, Action, Stylized, Sci-fi, Philosophical, Adventure, Beautiful, Singleplayer",88 pуб.,
Please close the doors,Indie Games/К и Ко Franchise,Mixed (23 reviews),"29 Jan, 2018",Koyotis Studio,"Indie, Detective, Zombies, Thriller, RPGMaker, Pixel Graphics, 2D, Visual Novel, Survival Horror, Singleplayer, Violent, Adventure, RPG, JRPG, Anime, Psychological Horror, Retro, Horror, 1980s, Gore",12 pуб.,
Terminal squad: Sentinel,Casual Games/TrinityProject Franchise,Mixed (23 reviews),"19 Dec, 2019",Droid Riot,"Casual, Indie, Match 3, Sci-fi, RPG, Tower Defense, Difficult, Puzzle, Strategy RPG, Real Time Tactics, 2D, Pixel Graphics, Aliens, Logic, Mechs, Time Manipulation, Score Attack, Trading, Singleplayer, Combat",13 pуб.,
Save Koch,Simulation Games,Mixed (111 reviews),"18 Apr, 2019",Wooden Monkeys,"Strategy, Simulation, Adventure, Story Rich, Atmospheric, Detective, Choices Matter, Singleplayer, Great Soundtrack, 2D, Replay Value, Violent, Casual, Political, Indie, Difficult, Point & Click, Multiple Endings, Management, Thriller",,"Windows, macOS, SteamOS + Linux"
Where are my Internets?,Indie Games,Mostly Positive (51 reviews),"16 Dec, 2016",Lokator Studio,"Indie, Board Game, RPGMaker, Anime, Comedy, Turn-Based, Co-op, Funny, Family Friendly, Grid-Based Movement, Great Soundtrack, 4 Player Local, Survival, Third Person, Memes, Multiplayer, 2D",,"Windows, macOS"
GraviSound,Audio Production,Mostly Positive (23 reviews),"18 Jun, 2018",URUS GAMES,"Audio Production, Education, Software Training, Utilities, Indie, Casual, Simulation, Game Development",,
Simple Ball: Extended Edition,Casual Games,Mixed (54 reviews),"25 Jul, 2016",Antizero company,"Casual, Indie",15 pуб.,
Range Ball,Indie Games/meokigame Franchise,Positive (14 reviews),"1 Apr, 2018",meokigame,"Indie, Casual, Simulation, Racing, Sports, Strategy, Action, Adventure, Arcade, 2D, Match 3, Puzzle Platformer, Atmospheric",14 pуб.,
