title,path,reviews,release date,developer,popular tags,price,platforms available
Space Colonizers Idle Clicker,Simulation Games,Mixed (24 reviews),"31 May, 2018",CapPlay Interactive Inc.,"Indie, Strategy, Casual, Simulation, Clicker, Space Sim, 2D, Flight, Idler, Cartoon, First-Person, Futuristic, Space, Relaxing, Sci-fi, Singleplayer, Aliens, Exploration, Spaceships, Retro",82 pуб.,"win, mac"
Next Stop 3,Casual Games,Positive (16 reviews),"9 Mar, 2019",Ladia Group,"Casual, Simulation, Strategy",175 pуб.,"win, mac"
Let's Journey,RPG Games,Positive (23 reviews),"8 Oct, 2020",PotionPlayer,"RPG, Idler, Clicker, Roguelike, 2D, Singleplayer, Side Scroller, CRPG, Roguelite, Action RPG, Action-Adventure, Character Customization, Dragons, Funny, Procedural Generation, Casual, Hand-drawn, Adventure, Loot, Fantasy",195 pуб.,win
Fairy of the treasures,Indie Games,Mixed (40 reviews),"27 Dec, 2017",JustE A,"Casual, Indie, Clicker, Anime, Visual Novel, 2D, Fantasy, Score Attack, Singleplayer, eSports, Nudity, Illuminati",30 pуб.,"win, mac, linux"
Human-powered spacecraft,Indie Games,Very Positive (543 reviews),"3 May, 2018",Shiv,"Indie, Clicker, Point & Click, Casual, Pixel Graphics, Singleplayer, Cute, Sci-fi, Retro, Comedy, Short, 2D, Space, Relaxing, Funny, Fast-Paced, Memes, Parody, Adventure, Atmospheric",60 pуб.,win
Achievement Simulator,Simulation Games,Very Positive (71 reviews),"21 Aug, 2019",Leeson,"Casual, Simulation, Clicker, Indie, Memes",61 pуб.,win
Lord of the Click 2,Action Games,Positive (17 reviews),"10 Sep, 2021",HugePixel,"Adventure, Indie, Exploration, Retro, Arcade, Strategy, Action, 2D, Great Soundtrack, Local Co-Op, Atmospheric, Side Scroller, Top-Down",269 pуб.,win
W. T. B.,Casual Games/W. T. B. Franchise,Positive (11 reviews),"9 Aug, 2018",CSM,"Indie, Casual","14,88 pуб.",win
Holyday City: Reloaded,Free to Play Games,"Very Positive (1,476 reviews)","14 Dec, 2017",Holyday Studios,"Funny, Capitalism, Casual, Clicker, Free to Play, Idler, 2D, City Builder, Simulation, Singleplayer, Building, Management, Cartoon, Cartoony, Time Management, Colorful, Text-Based, Resource Management, Point & Click, Isometric",Free To Play,"win, mac, linux"
Endless World Idle RPG,Free to Play Games,"Mostly Positive (4,092 reviews)","26 Aug, 2019",Radiance Games,"PvP, Hack and Slash, Clicker, Idler, Racing, RPG, 3D, Action, Casual, Simulation, Anime, Fantasy, Time Travel, Werewolves, Adventure, Cartoon, Co-op, Massively Multiplayer, Multiplayer, Online Co-Op",Free To Play,"win, mac"
Clicker Heroes: Zombie Auto Clicker,Free to Play Games/Clicker Heroes/Downloadable Content,Positive (21 reviews),"24 Oct, 2016",Playsaurus,"Casual, Clicker, Free to Play, RPG, Indie, Strategy, Adventure, Simulation",259 pуб.,"win, mac"
ClickMonster,Indie Games,Mostly Positive (18 reviews),"18 Jun, 2021",Wertex Games,"Simulation, Clicker, 2D, Colorful, Moddable, Indie, Singleplayer, Casual",12 pуб.,win
Lord of the Click 3,Action Games,Positive (15 reviews),"23 Sep, 2022",HugePixel,"Adventure, Strategy, Action, Indie, Violent, Tower Defense, Side Scroller, 2D, Atmospheric, Cartoony, Clicker, Idler, Cute, Top-Down",102 pуб.,win
Forbidden Clicker Party,Indie Games,Very Positive (55 reviews),"29 Jan, 2018",OneShark,"Casual, Clicker, Indie, Adventure, RPG, Strategy",82 pуб.,"win, mac"
Shoot. Push. Repeat.,Casual Games/Crew Lab Franchise,Positive (41 reviews),"8 Jun, 2020",CrewLab,"Casual, Indie, Relaxing, Puzzle, 2D, Minimalist, Singleplayer, Short, Family Friendly",30 pуб.,win
The Billion Clicker,Indie Games,Mixed (19 reviews),"23 Sep, 2022",PaulArt,"Clicker, Idler, Puzzle, Turn-Based Tactics, Sandbox, Immersive Sim, Real Time Tactics, Logic, Management, Simulation, Old School, Relaxing, God Game, RTS, Time Management, Text-Based, Strategy, Minimalist, Choices Matter, 2D",133 pуб.,win
Lazy Galaxy,Strategy Games/Lazy Galaxy Franchise,Very Positive (144 reviews),"22 Mar, 2018",Coldwild Games,"Idler, Indie, Strategy, Clicker, Casual, Pixel Graphics, Singleplayer, Space, 2D, Real Time Tactics, RTS, Sci-fi, Early Access, Great Soundtrack, Science, Comedy, City Builder",133 pуб.,"win, mac, linux"
Chicken Police - Paint it RED!,Adventure Games/HandyGames Franchise,"Overwhelmingly Positive (1,055 reviews) Very Positive (17 reviews)","5 Nov, 2020",The Wild Gentlemen,"Visual Novel, Story Rich, Noir, Detective, Adventure, Point & Click, Crime, Atmospheric, Singleplayer, Conversation, Dark Humor, Cats, Puzzle, Nature, Clicker, Hidden Object, Cinematic, 2.5D, 2D, America",Free Demo,"win, mac"
Mr.Mine,Free to Play Games,"Very Positive (12,407 reviews) Overwhelmingly Positive (208 reviews)","30 Sep, 2020",Austin Oblouk,"Free to Play, Casual, Idler, Clicker, Mining, Simulation, 2D, Resource Management, Singleplayer, Indie, Multiplayer, Cartoony, Survival",Free To Play,win
Clicker Heroes: Unicorn Auto Clicker,Adventure Games/Clicker Heroes/Downloadable Content,6 user reviews (6 reviews),"1 Dec, 2017",Playsaurus,"RPG, Indie, Casual, Simulation, Strategy, Adventure, Free to Play",259 pуб.,"win, mac"
Clicker Heroes: Boxy & Bloop Auto Clicker,Adventure Games/Clicker Heroes/Downloadable Content,7 user reviews (7 reviews),"3 Mar, 2017",Playsaurus,"Free to Play, RPG, Casual, Simulation, Indie, Strategy, Adventure, Clicker",259 pуб.,"win, mac"
,,,,,,"1160,80 pуб.",
Clicker Warriors,Free to Play Games,Mostly Negative (115 reviews),"22 Oct, 2019",Open World Interactive,"Free to Play, Casual, RPG, Indie, Clicker, Adventure, Action, Strategy, Simulation",Free To Play,win
Tap Adventure: Time Travel,Free to Play Games,Mixed (920 reviews),"2 Mar, 2017",Avallon Alliance,"Clicker, Free to Play, Fantasy, 2D, Magic, Time Travel, Adventure, RPG, Dungeon Crawler, Dark Fantasy, Demons, Indie, Crafting, Hand-drawn, Roguelike, Funny, Dark, Gothic, Casual, Mouse only",Free To Play,"win, mac"
Transport Defender,Free to Play Games,Mostly Positive (391 reviews),"11 Sep, 2017",Coconut Shavers,"Free to Play, Casual, Clicker, Strategy, Idler",Free To Play,win
Vatnik Simulator - A Russian Patriot Game,Indie Games,Mixed (14 reviews),"21 Jun, 2018","Nikita ""Ghost_RUS""","Indie, Casual, Simulation",30 pуб.,win
Dungeons & Vampires,Adventure Games,Mixed (28 reviews),"16 Oct, 2018",Angry games,"Casual, Adventure, Indie, RPG, Roguelike, Dungeon Crawler, Roguelite",124 pуб.,win
Visiting a celebrity,Simulation Games,Positive (23 reviews),"26 Feb, 2021",fusion,"Grand Strategy, Choose Your Own Adventure, Life Sim, Clicker, Character Action Game, Idler, Strategy, Automobile Sim, God Game, 2D, Relaxing, Simulation, Funny, Hand-drawn, Colorful, Adventure, Comedy, Memes, Cartoony, Anime",30 pуб.,win
SafeHome,Indie Games,Positive (10 reviews),"25 Feb, 2020",ThirtysixLab,"Strategy, Indie, Casual, Building, Tower Defense, Visual Novel",Free to Play,"win, linux"
Lord of the click,Action Games,Mixed (58 reviews),"26 Mar, 2019",HugePixel,"Casual, Action, Indie, Clicker, Singleplayer, Pixel Graphics, Strategy, Tower Defense, Great Soundtrack, Arcade, 2D, Epic, Retro, Difficult, Top-Down, Action-Adventure, Adventure",82 pуб.,win
Idle Racing GO: Clicker Tycoon,Simulation Games/T-Bull Franchise,Mixed (537 reviews),Jan 2019,T-Bull,"Racing, Casual, Simulation, Clicker, Early Access, Idler, Free to Play, Multiplayer",Free To Play,"win, mac"
,,,,,,"1562,40 pуб.",
Swarm Simulator: Evolution,Indie Games,Mostly Positive (450 reviews),"25 Feb, 2019",Scary Bee LLC,"Free to Play, Casual, Clicker, Indie, Simulation, RPG, Idler, Singleplayer",Free To Play,"win, mac"
Farmtale,Casual Games,Mostly Positive (224 reviews),"13 Apr, 2020",Titanforged Entertainment,"Farming Sim, Clicker, Agriculture, Life Sim, Sandbox, Simulation, Building, Resource Management, Idler, RPG, Casual, Choose Your Own Adventure, Relaxing, Family Friendly, Cute, Colorful, Economy, Singleplayer, Early Access, 3D",133 pуб.,win
,,,,,,360 pуб.,
GEESE vs CTHULHU,Indie Games/Indie Games by Anatoliy Loginovskikh Franchise,Positive (42 reviews),"28 Jun, 2020",Anatoliy Loginovskikh,"Casual, Spectacle fighter, Arena Shooter, Combat Racing, Hand-drawn, Isometric, Character Action Game, Superhero, Perma Death, Experimental, Action-Adventure, Surreal, Indie, Funny, Action, Comedy, Shooter, Singleplayer, Adventure, Motorbike",199 pуб.,win
Clicker Heroes: Red-Nosed Clickdeer,Adventure Games/Clicker Heroes/Downloadable Content,Positive (11 reviews),"6 Dec, 2016",Playsaurus,"RPG, Indie, Casual, Adventure, Free to Play, Strategy, Simulation",259 pуб.,"win, mac"
Feed the Pets Origins,Indie Games/Volrest Games Franchise,Mostly Positive (15 reviews),"1 Oct, 2018",Volrest,"Indie, Casual, Clicker",30 pуб.,win
Kawaii Rainbow Portal,Indie Games/W. T. B. Franchise,Mostly Positive (24 reviews),"27 Mar, 2018",CSM,"Casual, Indie","13,17 pуб.",win
,,,,,,"67,50 pуб.",
Cell to Singularity - Evolution Never Ends,Simulation Games,"Very Positive (15,973 reviews) Very Positive (342 reviews)","3 Nov, 2021",Computer Lunch,"Clicker, Free to Play, Simulation, Science, Casual, Historical, Idler, Early Access, Singleplayer, Education, Dinosaurs, God Game, Space, Sci-fi, Sandbox, Point & Click, Multiplayer",Free To Play,"win, mac"
Insanity Clicker,Free to Play Games,"Mixed (2,732 reviews) Very Positive (10 reviews)","7 Jun, 2016",PlayFlock,"Free to Play, Clicker, Horror, Casual, RPG, Adventure, Indie, Simulation, Strategy, Nudity, Multiplayer, Gore, Action, Singleplayer, Psychological Horror, Zombies, Female Protagonist, Co-op, Sexual Content, Memes",Free to Play,"win, mac"
A HERO AND A GARDEN,Indie Games/npckc Franchise,Positive (31 reviews),"5 May, 2022",npckc,"Interactive Fiction, Clicker, Visual Novel, Relaxing, Fantasy, Cute, LGBTQ+, Story Rich, Emotional, Atmospheric, Simulation, Cartoony, Anime, Singleplayer, Soundtrack, Indie, Music, 2D, Casual, Remake",200 pуб.,"win, mac, linux"
Cookie Clicker,Simulation Games,"Overwhelmingly Positive (36,013 reviews) Overwhelmingly Positive (1,284 reviews)","1 Sep, 2021",Orteil,"Clicker, Idler, Casual, Indie, Pixel Graphics, Management, Collectathon, Economy, Funny, Building, Strategy, Memes, 2D, Resource Management, Simulation, Comedy, Colorful, Touch-Friendly, Horror, Singleplayer",133 pуб.,win
PickCrafter,Simulation Games,"Very Positive (5,434 reviews) Very Positive (112 reviews)","14 Dec, 2017",Fiveamp,"Clicker, Free to Play, Casual, Singleplayer, Simulation, Pixel Graphics, Crafting, Idler, Mining, Indie, 2D, Addictive, Psychological Horror",Free To Play,"win, mac"
Firestone: Online Idle RPG,Early Access Games,"Mostly Positive (4,526 reviews) Very Positive (44 reviews)","26 Sep, 2019",Holyday Studios,"Idler, Free to Play, RPG, Clicker, Indie, Adventure, Casual, Early Access, Strategy, Singleplayer, Simulation, Action, Massively Multiplayer, Multiplayer, Fantasy, MMORPG, 2D, Auto Battler, Time Management, Combat",Free To Play,"win, mac, linux"
Grim Clicker,Free to Play Games,"Very Positive (2,105 reviews) Very Positive (19 reviews)","9 Jan, 2020",EvilCharm Games,"Clicker, Idler, Free to Play, RPG, 2D, Singleplayer, Indie, Side Scroller, Inventory Management, Casual, Souls-like, Strategy, Pixel Graphics, Automation, Character Customization, Fantasy, Hack and Slash, Action, Early Access, Dark Fantasy",Free To Play,win
