title,path,reviews,release date,developer,popular tags,price,platforms available
Minecraft Legends,Strategy Games,,Coming 2023,Mojang Studios,"Strategy, Action, Fantasy, Tactical, Family Friendly, Multiplayer, Singleplayer, Co-op, PvP, Controller, Combat, Character Customization, Online Co-Op, Co-op Campaign, Tutorial, Isometric, Adventure, Hentai, Open World, Horror",,
,,,,,,172 pуб.,
"Portal Knights - Elves, Rogues, and Rifts",Action Games/505 Games Official Franchise/Portal Knights/Downloadable Content,Mixed (97 reviews),"27 Jun, 2019",Keen Games,"RPG, Action, Adventure, Sandbox, Local Co-Op, Exploration, Crafting, Casual, Building, Fantasy",155 pуб.,
Craft The World - Temples of 4 Elements,Indie Games/Craft The World/Downloadable Content,Mixed (52 reviews),"18 Sep, 2019",Dekovir Entertainment,"Strategy, RPG, Indie, Simulation","62,50 pуб.","Windows, macOS"
Craft The World - Sisters in Arms,Indie Games/Craft The World/Downloadable Content,Very Positive (138 reviews),"4 Jul, 2016",Dekovir Entertainment,"Indie, Strategy, Simulation, RPG","62,50 pуб.","Windows, macOS"
Krater,Indie Games,Mixed (595 reviews),"12 Jun, 2012",Fatshark,"RPG, Adventure, Post-apocalyptic, Loot, Action RPG, Co-op, Party-Based RPG, Strategy, Singleplayer, Indie, Action, Online Co-Op, Hack and Slash, Isometric, Sci-fi, Great Soundtrack, Top-Down, Crafting, Steampunk, Multiplayer",34 pуб.,"Windows, macOS"
Craft The World - Grottoes,Indie Games/Craft The World/Downloadable Content,Positive (30 reviews),"23 Oct, 2019",Dekovir Entertainment,"Strategy, RPG, Indie, Simulation",21 pуб.,"Windows, macOS"
Music for The Long Dark -- Volume One,Adventure Games/The Long Dark/Downloadable Content,Very Positive (110 reviews),"28 Aug, 2017",Hinterland Studio Inc.,"Adventure, Indie, Simulation, Strategy, Soundtrack, Music, Survival, Great Soundtrack",,"Windows, macOS, SteamOS + Linux"
Craft The World - Heroes,Indie Games/Craft The World/Downloadable Content,Mostly Positive (64 reviews),"22 Jun, 2020",Dekovir Entertainment,"Strategy, RPG, Indie, Simulation","82,50 pуб.","Windows, macOS"
Craft The World - Dig with Friends,Indie Games/Craft The World/Downloadable Content,Mixed (166 reviews),"21 Mar, 2017",Dekovir Entertainment,"Strategy, Indie, Simulation, RPG",120 pуб.,"Windows, macOS"
Craft The World - Lonely Mountain,Indie Games/Craft The World/Downloadable Content,Mixed (70 reviews),"27 Dec, 2019",Dekovir Entertainment,"Strategy, RPG, Indie, Simulation",140 pуб.,"Windows, macOS"
Dig or Die,Action Games,"Very Positive (3,542 reviews) Mostly Positive (14 reviews)","10 Jul, 2018",Gaddy Games,"Survival, Open World Survival Craft, Sandbox, Crafting, 2D, Open World, Indie, Strategy, Action, Multiplayer, Tower Defense, Building, Base Building, Physics, Co-op, Pixel Graphics, Singleplayer, RPG, Early Access, Adventure",144 pуб.,
Craft The World - Bosses & Monsters,Indie Games/Craft The World/Downloadable Content,Mixed (119 reviews),"25 Jun, 2019",Dekovir Entertainment,"Strategy, RPG, Indie, Simulation",160 pуб.,"Windows, macOS"
Digger Online,Adventure Games,Mixed (910 reviews) Very Positive (19 reviews),"2 Jun, 2015",Дмитриев Максим Константинович,"Story Rich, Action, Atmospheric, Realistic, Shooter, Survival, First-Person, Open World, Multiplayer, Family Friendly, Sandbox, Comedy, Building, Co-op, Zombies, Adventure, Simulation, RPG, Indie, Crafting",,
Chicory: A Colorful Tale,Adventure Games,"Overwhelmingly Positive (1,709 reviews) Very Positive (34 reviews)","10 Jun, 2021",Greg Lobanov,"Indie, Adventure, RPG, Great Soundtrack, Cute, Emotional, Colorful, Story Rich, Funny, Puzzle, Local Co-Op, Singleplayer, Relaxing, 2D, Metroidvania, LGBTQ+, Co-op, Casual, Psychological Horror",304 pуб.,"Windows, macOS"
"Portal Knights - Druids, Furfolk, and Relic Defense",Action Games/505 Games Official Franchise/Portal Knights/Downloadable Content,Very Positive (53 reviews),"20 Feb, 2020",Keen Games,"Action, Adventure, RPG, Building, Fantasy, Crafting, Exploration, Local Co-Op, Multiplayer, Casual",155 pуб.,
PixARK,Adventure Games/Snail Games USA Franchise,"Mostly Positive (8,316 reviews) Mostly Positive (54 reviews)","31 May, 2019",Snail Games USA,"Survival, Adventure, Open World, Massively Multiplayer, Multiplayer, Sandbox, Dinosaurs, Action, RPG, Pixel Graphics, Casual, Strategy, Crafting, Building, Voxel, Early Access, Base Building, Magic, FPS, Singleplayer",181 pуб.,
shapez,Simulation Games/tobspr Games Franchise,"Overwhelmingly Positive (8,000 reviews) Overwhelmingly Positive (147 reviews)","7 Jun, 2020",Tobias Springer,"Automation, Base Building, Sandbox, Resource Management, Crafting, Strategy, Singleplayer, Management, Open World, Building, 2D, Casual, Moddable, Simulation, Puzzle, Abstract, Idler, Logic, Family Friendly, Indie",119 pуб.,"Windows, macOS, SteamOS + Linux"
Ampu-Tea,Indie Games,Mixed (826 reviews),"30 May, 2014",ProjectorGames,"Simulation, Indie, Casual, Physics, Funny, Adventure, Singleplayer, Difficult, Intentionally Awkward Controls, Comedy, RPG",116 pуб.,
Portal Knights,Adventure Games/505 Games Official Franchise,"Very Positive (15,206 reviews) Very Positive (66 reviews)","18 May, 2017",Keen Games,"Adventure, Sandbox, Multiplayer, RPG, Building, Crafting, Survival, Co-op, Action, Exploration, Singleplayer, Fantasy, Voxel, Casual, Cute, Early Access, Dungeon Crawler, Third Person, Great Soundtrack, Local Co-Op",146 pуб.,
Overkill VR: Action Shooter FPS,Action Games,Mostly Positive (248 reviews),"16 Nov, 2016",Starloop Studios,"Action, Simulation, Violent, VR, FPS, Shooter",104 pуб.,
VR Parallel World,Casual Games,Mixed (26 reviews),"14 Mar, 2021",William at Oxford,"Casual, Exploration, VR, First-Person, Open World, Sexual Content, Singleplayer, Nudity",129 pуб.,
Gardenia,Indie Games,Positive (25 reviews),"3 Dec, 2021",Sleepwalking Potatoes,"Funny, Singleplayer, Adventure, Sandbox, 3D, Nature, Farming Sim, First-Person, Life Sim, Story Rich, Choose Your Own Adventure, Magic, Immersive Sim, Simulation, Building, Action-Adventure, Action Roguelike, Old School, Beautiful, Platformer",188 pуб.,
Gaia,RPG Games,Mixed (75 reviews),"3 Apr, 2020",Eternal Stardust Studios,"Base Building, Open World Survival Craft, Exploration, Procedural Generation, Adventure, RPG, Action, Simulation, Flight, Survival, Strategy, Open World, Building, Sandbox, Sci-fi, Female Protagonist, Underwater, Atmospheric, Character Customization, Indie",,
Dreamjob: Programmer Simulator - Learn Programming Games,Simulation Games,,TBA,DreamWay Games S.A.,"Building, Automation, Artificial Intelligence, Programming, Puzzle, Logic, Education, Simulation, Resource Management, Sandbox, Science, Hacking, Immersive Sim, Isometric, Character Customization, Singleplayer, Casual, Top-Down, Life Sim, Strategy",,"Windows, macOS"
BLOCK WARRIORS: Classic Edition,Action Games,Mixed (609 reviews),"5 Sep, 2017",Cyber Gaming,"Adventure, Action, RPG, Open World, Racing, Crime, Sandbox, Anime, Singleplayer, Shooter, Voxel, Simulation, Action-Adventure, Action RPG, Life Sim, Third-Person Shooter, America, Atmospheric, Driving, Management",,
Robocraft - Premium for Life Pack,Action Games/Robocraft/Downloadable Content,Mostly Positive (94 reviews),"20 Dec, 2016",Freejam,"Massively Multiplayer, Free to Play, Action, Simulation, Indie, RPG",412 pуб.,"Windows, macOS, SteamOS + Linux"
King Arthur's Gold,Free to Play Games,"Very Positive (4,942 reviews) Mostly Positive (27 reviews)","5 Nov, 2013",Transhuman Design,"Multiplayer, 2D, Action, Pixel Graphics, Building, Indie, Medieval, Sandbox, Team-Based, Platformer, Competitive, Co-op, Free to Play, Strategy, Side Scroller, Fast-Paced, Singleplayer, Adventure, Funny, Casual",29 pуб.,"Windows, SteamOS + Linux"
Portal Knights - Portal Pioneer Pack,Action Games/505 Games Official Franchise/Portal Knights/Downloadable Content,Mixed (16 reviews),"20 Jul, 2017",Keen Games,"Action, Adventure, RPG",47 pуб.,
